NAME,LATITUDE,LONGITUDE
"Algeria/Barbacha",36.56667,4.96667
"Algeria/Baraki",36.66655,3.09606
"Algeria/Bab Ezzouar",36.72615,3.18291
"Algeria/Azzaba",36.73944,7.10528
"Algeria/Azazga",36.74472,4.37222
"Algeria/Arzew",35.85048,-0.318
"Algeria/Arris",35.25881,6.34706
"Algeria/Arhribs",36.79361,4.31158
"Algeria/Arbatache",36.63773,3.37127
"Algeria/Aoulef",26.96667,1.08333
"Algeria/Annaba",36.9,7.76667
"Algeria/Ammi Moussa",35.86781,1.11143
"Algeria/Amizour",36.64022,4.90131
"Algeria/Algiers",36.73225,3.08746
"Algeria/Akbou",36.4575,4.53494
"Algeria/Aïn Touta",35.37675,5.90001
"Algeria/Aïn Temouchent",35.29749,-1.14037
"Algeria/Aïn Taya",36.79333,3.28694
"Algeria/Aïn Smara",36.2674,6.50135
"Algeria/Aïn Sefra",32.75,-0.58333
"Algeria/Aïn Oussera",35.45139,2.90583
"Algeria/Aïn Oulmene",35.92296,5.29604
"Algeria/Aïn M’Lila",36.03687,6.57219
"Algeria/’Aïn Merane",36.16277,0.97037
"Algeria/Aïn Kercha",35.92472,6.69528
"Algeria/Aïn Fakroun",35.97108,6.87374
"Algeria/’Aïn el Turk",35.74381,-0.7693
"Algeria/’Aïn el Melh",34.84146,4.16383
"Algeria/’Aïn el Hammam",36.56471,4.30619
"Algeria/Ain el Hadjel",35.67003,3.88153
"Algeria/Aïn el Bya",35.80389,-0.30178
"Algeria/’Aïn el Berd",35.36395,-0.51279
"Algeria/’Aïn el Bell",34.34381,3.22475
"Algeria/’Aïn Deheb",34.84218,1.54697
"Algeria/Aïn Defla",36.26405,1.9679
"Algeria/Aïn Bessem",36.29333,3.67319
"Algeria/’Aïn Benian",36.80277,2.92185
"Algeria/Aïn Beïda",35.79639,7.39278
"Algeria/’Aïn Azel",35.81846,5.51115
"Algeria/Aïn Arnat",36.18683,5.31347
"Algeria/’Aïn Abid",36.23194,6.94333
"Algeria/Ahmed Bel Hadj",36.80146,7.60811
"Algeria/Aflou",34.11279,2.10228
"Algeria/Adrar",27.87429,-0.29388
"Algeria/Abou el Hassan",36.41657,1.19616
"Algeria/Babor",36.48994,5.5393
"Algeria/In Salah",27.19678,2.47913
"Algeria/Ali Mendjeli",36.2459,6.5671
"Algeria/District of Taher",36.772,5.8982
"Algeria/Collo",37.00563,6.56049
"Algeria/Maâtkas",36.60466,3.98437
"Algeria/Sidi Amar",36.82019,7.71641
"American Samoa/Pago Pago",-14.27806,-170.7025
"Andorra/les Escaldes",42.50729,1.53414
"Andorra/Andorra la Vella",42.50779,1.52109
"Angola/Saurimo",-9.66078,20.39155
"Angola/Lucapa",-8.41915,20.74466
